id,admin,first_name,last_name,initial,class,grade,register,reg_date,username,email,cell
235,235-SE,Slabbert,Edmondson,SE,08M,08,B,2049-12-08,sedmondson,sedmondson@sla.co.ac,0822768023
236,236-SE,Singh,Elphick,SE,08M,08,B,2050-08-03,selphick,selphick@sla.co.ac,0820576338
237,237-SF,Shilenge,Fairhurst,SF,08M,08,B,2051-10-17,sfairhurst,sfairhurst@sla.co.ac,0828687262
238,238-SF,Shampandle,Fella,SF,08M,08,B,2052-02-23,sfella,sfella@sla.co.ac,0824147696
239,239-SF,Serage,Fick,SF,08M,08,B,2053-02-23,sfick,sfick@sla.co.ac,0821096789
240,240-SF,Sequeira,Fischer,SF,08M,08,B,2054-07-26,sfischer,sfischer@sla.co.ac,0824428569
241,241-SF,Seebran,Fourie,SF,08M,08,B,2055-11-19,sfourie,sfourie@sla.co.ac,0822244996
242,242-SF,Sebata,Fourie,SF,08M,08,B,2056-07-13,sfourie,sfourie@sla.co.ac,0820957776
243,243-SF,Samigramni,Froud,SF,08M,08,B,2057-10-28,sfroud,sfroud@sla.co.ac,0825600439
244,244-RG,Rugnanan,Gaffney,RG,08M,08,B,2058-05-04,rgaffney,rgaffney@sla.co.ac,0826620247
245,245-RG,Rozycki,Gewanlal,RG,08M,08,B,2059-01-15,rgewanlal,rgewanlal@sla.co.ac,0820461265
246,246-RG,Roman,Gibson,RG,08M,08,B,2060-10-28,rgibson,rgibson@sla.co.ac,0827050491
247,247-RG,Roddan,Ginn,RG,08M,08,B,2061-01-17,rginn,rginn@sla.co.ac,0822348809
248,248-RG,Richter,Govender,RG,08M,08,B,2062-12-19,rgovender,rgovender@sla.co.ac,0826291299
249,249-RG,Reddy,Grobler,RG,08M,08,B,2063-02-19,rgrobler,rgrobler@sla.co.ac,0822749386
250,250-RH,Ramugumo,Hadebe,RH,08M,08,B,2064-12-23,rhadebe,rhadebe@sla.co.ac,0822064524
251,251-RH,Ramlakan,Hadebe,RH,08M,08,B,2065-10-29,rhadebe,rhadebe@sla.co.ac,0826317436
252,252-RH,Ramjattan,Haviga,RH,09M,09,C,2066-01-20,rhaviga,rhaviga@sla.co.ac,0829052101
253,253-RH,Ramchuran,Haviga,RH,09M,09,C,2067-10-24,rhaviga,rhaviga@sla.co.ac,0828253654
254,254-RH,Rall,Hlophe,RH,09M,09,C,2068-04-25,rhlophe,rhlophe@sla.co.ac,0824031440
255,255-RH,Radebe,Horton,RH,09M,09,C,2069-10-13,rhorton,rhorton@sla.co.ac,0824290879
256,256-PI,Poulton,Ighalo,PI,09M,09,C,2070-02-01,pighalo,pighalo@sla.co.ac,0826813489
257,257-PI,Pontes,Ighalo,PI,09M,09,C,2071-07-24,pighalo,pighalo@sla.co.ac,0825721160
258,258-PJ,Pillay,Jacobs,PJ,09M,09,C,2072-01-26,pjacobs,pjacobs@sla.co.ac,0826028672
259,259-PJ,Pietersen,Jakavula,PJ,09M,09,C,2073-11-03,pjakavula,pjakavula@sla.co.ac,0828698975
260,260-PJ,Phasha,JansevanRensburg,PJ,09M,09,C,2074-06-25,pjansevanrensburg,pjansevanrensburg@sla.co.ac,0820665938
261,261-PJ,Pailman,Jardim,PJ,09M,09,C,2075-11-27,pjardim,pjardim@sla.co.ac,0820736310
262,262-PJ,Padayachee,Jeftha,PJ,09M,09,C,2076-12-18,pjeftha,pjeftha@sla.co.ac,0825442303
263,263-OJ,Oxley,Jerry,OJ,09M,09,C,2077-10-13,ojerry,ojerry@sla.co.ac,0829683789
264,264-NJ,Nyembe,Jones,NJ,09M,09,C,2078-06-18,njones,njones@sla.co.ac,0825893312
265,265-NJ,Norton,Joubert,NJ,09M,09,C,2079-12-22,njoubert,njoubert@sla.co.ac,0825757899
266,266-NK,Nkente,Khan,NK,09M,09,C,2080-10-08,nkhan,nkhan@sla.co.ac,0823258980
267,267-NK,Nhlapo,Khan,NK,09M,09,C,2081-07-16,nkhan,nkhan@sla.co.ac,0825820778
268,268-NK,Nhlapo,Khoza,NK,09M,09,C,2082-05-09,nkhoza,nkhoza@sla.co.ac,0828615978
269,269-NK,Nhlapo,Kitchener,NK,09M,09,C,2083-02-02,nkitchener,nkitchener@sla.co.ac,0823484908
270,270-NK,Neto,Komane,NK,09M,09,C,2084-11-23,nkomane,nkomane@sla.co.ac,0823228574
271,271-NK,Nene,Kose,NK,09M,09,C,2085-11-11,nkose,nkose@sla.co.ac,0820676162
272,272-NK,Neave,Kwinika,NK,09M,09,C,2086-09-07,nkwinika,nkwinika@sla.co.ac,0820886946
273,273-NL,Ndlela,Landsberg,NL,09M,09,C,2087-09-16,nlandsberg,nlandsberg@sla.co.ac,0829638865
274,274-NL,Ndhlovu,Letsholo,NL,09M,09,C,2088-07-04,nletsholo,nletsholo@sla.co.ac,0820977819
275,275-NL,Narain Singh,Levey,NL,09M,09,C,2089-07-14,nlevey,nlevey@sla.co.ac,0820516708
276,276-NL,Nainaar,Liebenberg,NL,09M,09,D,2090-06-15,nliebenberg,nliebenberg@sla.co.ac,0821603643
277,277-NL,Naidu,Liebenberg,NL,09R,09,D,2091-11-25,nliebenberg,nliebenberg@sla.co.ac,0822913845
278,278-NL,Naidoo,Lottering,NL,09R,09,D,2092-10-11,nlottering,nlottering@sla.co.ac,0820401430
279,279-NL,Naidoo,Ludik,NL,09R,09,D,2093-01-28,nludik,nludik@sla.co.ac,0822366435
280,280-NL,Naidoo,Lukhele,NL,09R,09,D,2094-08-06,nlukhele,nlukhele@sla.co.ac,0822407038
281,281-NM,Naidoo,Machete,NM,09R,09,D,2095-07-12,nmachete,nmachete@sla.co.ac,0829266900
282,282-MM,Murimwa,Maharaj,MM,09R,09,D,2096-01-26,mmaharaj,mmaharaj@sla.co.ac,0821381551
283,283-MM,Munezi,Makowe,MM,09R,09,D,2097-04-10,mmakowe,mmakowe@sla.co.ac,0828437057
284,284-MM,Mukwe,Malapela,MM,09R,09,D,2098-12-17,mmalapela,mmalapela@sla.co.ac,0828065940
285,285-MM,Mtetwa,Malapile,MM,09R,09,D,2099-05-01,mmalapile,mmalapile@sla.co.ac,0820452325
286,286-MM,Mtetwa,Malatji,MM,09R,09,D,2100-08-17,mmalatji,mmalatji@sla.co.ac,0827504047
287,287-MM,Motsaanaka,Malatji,MM,09R,09,D,2101-08-15,mmalatji,mmalatji@sla.co.ac,0822773728
288,288-MM,Mothekhe,Malebana,MM,09R,09,D,2102-11-06,mmalebana,mmalebana@sla.co.ac,0820098738
289,289-MM,Morrey,Malefofana,MM,09R,09,D,2103-07-18,mmalefofana,mmalefofana@sla.co.ac,0825145740
290,290-MM,Morrey,Maloma,MM,09R,09,D,2104-05-22,mmaloma,mmaloma@sla.co.ac,0822450704
291,291-MM,Monyanyedi,Manyakoana,MM,09R,09,D,2105-01-22,mmanyakoana,mmanyakoana@sla.co.ac,0824915955
292,292-MM,Moloi,Martiens,MM,09R,09,D,2106-01-10,mmartiens,mmartiens@sla.co.ac,0826190733
293,293-MM,Molobi,Marx,MM,09R,09,D,2107-12-10,mmarx,mmarx@sla.co.ac,0820498220
294,294-MM,Molalugi,Masemola,MM,09R,09,D,2108-06-14,mmasemola,mmasemola@sla.co.ac,0827064629
295,295-MM,Mokoena,Masondo,MM,09R,09,D,2109-04-22,mmasondo,mmasondo@sla.co.ac,0829018699
296,296-MM,Mokoena,Matadin,MM,09R,09,D,2110-01-20,mmatadin,mmatadin@sla.co.ac,0824673307
297,297-MM,Mokoena,Matjila,MM,09R,09,D,2111-04-23,mmatjila,mmatjila@sla.co.ac,0823747567
298,298-MM,Mokgatle,Matlhake,MM,09R,09,D,2112-01-23,mmatlhake,mmatlhake@sla.co.ac,0822338935
299,299-MM,Mojapelo,Matshoba,MM,10H,10,E,2113-11-28,mmatshoba,mmatshoba@sla.co.ac,0820819133
300,300-MM,Mochaka,Mavengedza,MM,10H,10,E,2114-06-08,mmavengedza,mmavengedza@sla.co.ac,0823405733
301,301-MM,Mkhonta,Maziku,MM,10H,10,E,2115-02-09,mmaziku,mmaziku@sla.co.ac,0823510022
302,302-MM,Mkhabela,McKenna,MM,10H,10,E,2116-04-04,mmckenna,mmckenna@sla.co.ac,0824383874
303,303-MM,Mills,Meyi,MM,10H,10,E,2117-05-28,mmeyi,mmeyi@sla.co.ac,0829508917
304,304-MM,Meyi,Mills,MM,10H,10,E,2118-08-27,mmills,mmills@sla.co.ac,0827839479
305,305-MM,McKenna,Mkhabela,MM,10H,10,E,2119-12-06,mmkhabela,mmkhabela@sla.co.ac,0828299868
306,306-MM,Maziku,Mkhonta,MM,10H,10,E,2120-09-27,mmkhonta,mmkhonta@sla.co.ac,0827671561
307,307-MM,Mavengedza,Mochaka,MM,10H,10,E,2121-03-12,mmochaka,mmochaka@sla.co.ac,0822523191
308,308-MM,Matshoba,Mojapelo,MM,10H,10,E,2122-07-05,mmojapelo,mmojapelo@sla.co.ac,0821209514
309,309-MM,Matlhake,Mokgatle,MM,10H,10,E,2123-03-24,mmokgatle,mmokgatle@sla.co.ac,0826044108
310,310-MM,Matjila,Mokoena,MM,10H,10,E,2124-11-29,mmokoena,mmokoena@sla.co.ac,0824244276
311,311-MM,Matadin,Mokoena,MM,10H,10,E,2125-08-14,mmokoena,mmokoena@sla.co.ac,0824719070
312,312-MM,Masondo,Mokoena,MM,10H,10,E,2126-05-17,mmokoena,mmokoena@sla.co.ac,0829625619
313,313-MM,Masemola,Molalugi,MM,10H,10,E,2127-06-08,mmolalugi,mmolalugi@sla.co.ac,0829283547
314,314-MM,Marx,Molobi,MM,10H,10,E,2128-10-25,mmolobi,mmolobi@sla.co.ac,0826533714
315,315-MM,Martiens,Moloi,MM,10H,10,E,2129-03-26,mmoloi,mmoloi@sla.co.ac,0820423079
316,316-MM,Manyakoana,Monyanyedi,MM,10H,10,E,2130-06-29,mmonyanyedi,mmonyanyedi@sla.co.ac,0823043967
317,317-MM,Maloma,Morrey,MM,10H,10,E,2131-04-20,mmorrey,mmorrey@sla.co.ac,0825540338
318,318-MM,Malefofana,Morrey,MM,10H,10,E,2132-11-30,mmorrey,mmorrey@sla.co.ac,0820748157
319,319-MM,Malebana,Mothekhe,MM,10S,10,E,2133-03-03,mmothekhe,mmothekhe@sla.co.ac,0827333737
320,320-MM,Malatji,Motsaanaka,MM,10S,10,F,2134-07-12,mmotsaanaka,mmotsaanaka@sla.co.ac,0820794479
321,321-MM,Malatji,Mtetwa,MM,10S,10,F,2135-09-09,mmtetwa,mmtetwa@sla.co.ac,0825141750
322,322-MM,Malapile,Mtetwa,MM,10S,10,F,2136-03-12,mmtetwa,mmtetwa@sla.co.ac,0824969385
323,323-MM,Malapela,Mukwe,MM,10S,10,F,2137-04-13,mmukwe,mmukwe@sla.co.ac,0826628160
324,324-MM,Makowe,Munezi,MM,10S,10,F,2138-10-20,mmunezi,mmunezi@sla.co.ac,0823971168
325,325-MM,Maharaj,Murimwa,MM,10S,10,F,2139-12-25,mmurimwa,mmurimwa@sla.co.ac,0826530747
326,326-MN,Machete,Naidoo,MN,10S,10,F,2140-06-05,mnaidoo,mnaidoo@sla.co.ac,0824345866
327,327-LN,Lukhele,Naidoo,LN,10S,10,F,2141-04-10,lnaidoo,lnaidoo@sla.co.ac,0823298438
328,328-LN,Ludik,Naidoo,LN,10S,10,F,2142-11-21,lnaidoo,lnaidoo@sla.co.ac,0824943482
329,329-LN,Lottering,Naidoo,LN,10S,10,F,2143-02-17,lnaidoo,lnaidoo@sla.co.ac,0829599864
330,330-LN,Liebenberg,Naidu,LN,10S,10,F,2144-08-23,lnaidu,lnaidu@sla.co.ac,0822185468
331,331-LN,Liebenberg,Nainaar,LN,10S,10,F,2145-03-28,lnainaar,lnainaar@sla.co.ac,0823353234
332,332-LN,Levey,Narain Singh,LN,10S,10,F,2146-11-04,lnarain singh,lnarain singh@sla.co.ac,0824608233
333,333-LN,Letsholo,Ndhlovu,LN,10S,10,F,2147-06-17,lndhlovu,lndhlovu@sla.co.ac,0825960821
334,334-LN,Landsberg,Ndlela,LN,10S,10,F,2148-02-23,lndlela,lndlela@sla.co.ac,0825976350
335,335-KN,Kwinika,Neave,KN,10S,10,F,2149-12-07,kneave,kneave@sla.co.ac,0829461853
336,336-KN,Kose,Nene,KN,10S,10,F,2150-07-17,knene,knene@sla.co.ac,0822865184
337,337-KN,Komane,Neto,KN,11F,11,G,2151-08-20,kneto,kneto@sla.co.ac,0825852999
338,338-KN,Kitchener,Nhlapo,KN,11F,11,G,2152-10-15,knhlapo,knhlapo@sla.co.ac,0829750020
339,339-KN,Khoza,Nhlapo,KN,11F,11,G,2153-03-06,knhlapo,knhlapo@sla.co.ac,0827412229
340,340-KN,Khan,Nhlapo,KN,11F,11,G,2154-07-08,knhlapo,knhlapo@sla.co.ac,0823357070
341,341-KN,Khan,Nkente,KN,11F,11,G,2155-02-27,knkente,knkente@sla.co.ac,0828524976
342,342-JN,Joubert,Norton,JN,11F,11,G,2156-01-27,jnorton,jnorton@sla.co.ac,0824947414
343,343-JN,Jones,Nyembe,JN,11F,11,G,2157-12-21,jnyembe,jnyembe@sla.co.ac,0821728568
344,344-JO,Jerry,Oxley,JO,11F,11,G,2158-08-29,joxley,joxley@sla.co.ac,0822523292
345,345-JP,Jeftha,Padayachee,JP,11F,11,G,2159-01-09,jpadayachee,jpadayachee@sla.co.ac,0824031760
346,346-JP,Jardim,Pailman,JP,11F,11,G,2160-02-02,jpailman,jpailman@sla.co.ac,0828707002
347,347-JP,JansevanRensburg,Phasha,JP,11F,11,G,2161-02-18,jphasha,jphasha@sla.co.ac,0827923347
348,348-JP,Jakavula,Pietersen,JP,11F,11,G,2162-09-25,jpietersen,jpietersen@sla.co.ac,0828516119
349,349-JP,Jacobs,Pillay,JP,11F,11,G,2163-09-15,jpillay,jpillay@sla.co.ac,0825283753
350,350-IP,Ighalo,Pontes,IP,11F,11,G,2164-06-14,ipontes,ipontes@sla.co.ac,0825268558
351,351-IP,Ighalo,Poulton,IP,11F,11,G,2165-08-02,ipoulton,ipoulton@sla.co.ac,0822547356
352,352-HR,Horton,Radebe,HR,11F,11,G,2166-07-03,hradebe,hradebe@sla.co.ac,0823513383
353,353-HR,Hlophe,Rall,HR,11F,11,G,2167-09-28,hrall,hrall@sla.co.ac,0824826554
354,354-HR,Haviga,Ramchuran,HR,11F,11,G,2168-04-15,hramchuran,hramchuran@sla.co.ac,0828368964
355,355-HR,Haviga,Ramjattan,HR,11F,11,G,2169-07-22,hramjattan,hramjattan@sla.co.ac,0827482300
356,356-HR,Hadebe,Ramlakan,HR,11L,11,I,2170-09-01,hramlakan,hramlakan@sla.co.ac,0824782161
357,357-HR,Hadebe,Ramugumo,HR,11L,11,I,2171-01-14,hramugumo,hramugumo@sla.co.ac,0823674109
358,358-GR,Grobler,Reddy,GR,11L,11,I,2172-09-29,greddy,greddy@sla.co.ac,0820424849
359,359-GR,Govender,Richter,GR,11L,11,I,2173-02-13,grichter,grichter@sla.co.ac,0824996407
360,360-GR,Ginn,Roddan,GR,11L,11,I,2174-12-12,groddan,groddan@sla.co.ac,0824119086
361,361-GR,Gibson,Roman,GR,11L,11,I,2175-07-17,groman,groman@sla.co.ac,0826797386
362,362-GR,Gewanlal,Rozycki,GR,11L,11,I,2176-08-01,grozycki,grozycki@sla.co.ac,0829928089
363,363-GR,Gaffney,Rugnanan,GR,11L,11,I,2177-07-25,grugnanan,grugnanan@sla.co.ac,0821072802
364,364-FS,Froud,Samigramni,FS,11L,11,I,2178-03-06,fsamigramni,fsamigramni@sla.co.ac,0828172189
365,365-FS,Fourie,Sebata,FS,11L,11,I,2179-05-27,fsebata,fsebata@sla.co.ac,0829912102
366,366-FS,Fourie,Seebran,FS,11L,11,I,2180-02-06,fseebran,fseebran@sla.co.ac,0826213301
367,367-FS,Fischer,Sequeira,FS,11L,11,I,2181-12-19,fsequeira,fsequeira@sla.co.ac,0826081210
368,368-FS,Fick,Serage,FS,11L,11,I,2182-04-02,fserage,fserage@sla.co.ac,0820520024
369,369-FS,Fella,Shampandle,FS,11L,11,I,2183-04-19,fshampandle,fshampandle@sla.co.ac,0828525560
370,370-FS,Fairhurst,Shilenge,FS,11L,11,I,2184-04-15,fshilenge,fshilenge@sla.co.ac,0823421221
371,371-ES,Elphick,Singh,ES,11L,11,I,2185-01-02,esingh,esingh@sla.co.ac,0820523998
372,372-ES,Edmondson,Slabbert,ES,11L,11,I,2186-12-21,eslabbert,eslabbert@sla.co.ac,0821910880
373,373-DS,Dlamini,Smal,DS,11L,11,I,2187-05-11,dsmal,dsmal@sla.co.ac,0820411642
374,374-DS,Dias,Smallwood,DS,11L,11,I,2188-11-07,dsmallwood,dsmallwood@sla.co.ac,0824846371
375,375-DS,Dhunraj,Smallwood,DS,12G,12,J,2189-07-02,dsmallwood,dsmallwood@sla.co.ac,0829979133
376,376-DS,Dhladhla,Smit,DS,12G,12,J,2190-02-10,dsmit,dsmit@sla.co.ac,0828120565
377,377-DS,Dhanasir,Smith,DS,12G,12,J,2191-08-12,dsmith,dsmith@sla.co.ac,0827151922
378,378-DS,Delport,Smith,DS,12G,12,J,2192-02-28,dsmith,dsmith@sla.co.ac,0822572816
379,379-DS,Delaport,Solomons,DS,12G,12,J,2193-09-03,dsolomons,dsolomons@sla.co.ac,0829770209
380,380-DS,De Wet,Spohr,DS,12G,12,J,2194-09-23,dspohr,dspohr@sla.co.ac,0824539984
381,381-DS,De Sas Kropiwnicki,Stappard,DS,12G,12,J,2195-09-02,dstappard,dstappard@sla.co.ac,0828539089
382,382-dS,de Nysschen,Steenkamp,dS,12G,12,J,2196-02-18,dsteenkamp,dsteenkamp@sla.co.ac,0829482993
383,383-DS,De Klerk,Strydom,DS,12G,12,J,2197-07-04,dstrydom,dstrydom@sla.co.ac,0827834620
384,384-DS,De Grandi Sala,Sukdaven,DS,12G,12,J,2198-01-06,dsukdaven,dsukdaven@sla.co.ac,0824265157
385,385-DT,Davis,Taljaard,DT,12G,12,J,2199-06-24,dtaljaard,dtaljaard@sla.co.ac,0827500718
386,386-CT,Confait,Tantsi,CT,12G,12,J,2200-03-04,ctantsi,ctantsi@sla.co.ac,0828556992
387,387-CT,Coetzee,Tetsa,CT,12G,12,J,2201-04-05,ctetsa,ctetsa@sla.co.ac,0821339252
388,388-CT,Coetzee,Themba,CT,12G,12,J,2202-05-29,cthemba,cthemba@sla.co.ac,0820048425
389,389-CT,Clarke,Tiltmann,CT,12G,12,J,2203-02-10,ctiltmann,ctiltmann@sla.co.ac,0826930580
390,390-CT,Clark,Tladi,CT,12R,12,K,2204-07-27,ctladi,ctladi@sla.co.ac,0827074353
391,391-CV,Clark,Van Eyk,CV,12R,12,K,2205-05-11,cvan eyk,cvan eyk@sla.co.ac,0827281323
392,392-CV,Carstens,Van Niekerk,CV,12R,12,K,2206-07-30,cvan niekerk,cvan niekerk@sla.co.ac,0823709150
393,393-BV,Brown,Vanda,BV,12R,12,K,2207-02-25,bvanda,bvanda@sla.co.ac,0821483107
394,394-BV,Britz,VanderMerwe,BV,12R,12,K,2208-01-02,bvandermerwe,bvandermerwe@sla.co.ac,0828751556
395,395-BV,Botha,VanGreunen,BV,12R,12,K,2209-03-09,bvangreunen,bvangreunen@sla.co.ac,0822968751
396,396-BV,Beach,Vass,BV,12R,12,K,2210-04-28,bvass,bvass@sla.co.ac,0820620434
397,397-BV,Bassog,Verwey,BV,12R,12,K,2211-01-08,bverwey,bverwey@sla.co.ac,0821231793
398,398-BW,Barnes,Waite,BW,12R,12,K,2212-08-14,bwaite,bwaite@sla.co.ac,0826592982
399,399-BW,Bambata,Waite,BW,12R,12,K,2213-10-06,bwaite,bwaite@sla.co.ac,0827923806
400,400-BW,Baloyi,Wanga,BW,12R,12,K,2214-04-26,bwanga,bwanga@sla.co.ac,0823797341
401,401-BW,Baleta,Weston,BW,12R,12,K,2215-05-27,bweston,bweston@sla.co.ac,0829869875
402,402-BW,Badari,Woodburn,BW,12R,12,K,2216-03-12,bwoodburn,bwoodburn@sla.co.ac,0828243994
403,403-AZ,Aphane,Zwane,AZ,12R,12,K,2217-12-04,azwane,azwane@sla.co.ac,0829873205
404,404-AZ,Adams,Zwane,AZ,12R,12,K,2218-11-08,azwane,azwane@sla.co.ac,0821934568
405,405-ZS,Zwane,Sebata,ZS,08L,08,L,2219-03-23,zsebata,zsebata@sla.co.ac,0826568507
406,406-ZS,Zwane,Seebran,ZS,08L,08,L,2220-03-19,zseebran,zseebran@sla.co.ac,0825673720
407,407-WS,Woodburn,Sequeira,WS,08L,08,L,2221-03-22,wsequeira,wsequeira@sla.co.ac,0828095804
408,408-WS,Weston,Serage,WS,08L,08,L,2222-01-01,wserage,wserage@sla.co.ac,0829725395
409,409-WS,Wanga,Shampandle,WS,08L,08,L,2223-10-04,wshampandle,wshampandle@sla.co.ac,0822725965
410,410-WS,Waite,Shilenge,WS,08L,08,L,2224-04-01,wshilenge,wshilenge@sla.co.ac,0829678362
411,411-WS,Waite,Singh,WS,08L,08,L,2225-11-30,wsingh,wsingh@sla.co.ac,0829076967
412,412-VS,Verwey,Slabbert,VS,08L,08,L,2226-02-12,vslabbert,vslabbert@sla.co.ac,0826222300
413,413-VS,Vass,Smal,VS,08L,08,L,2227-05-21,vsmal,vsmal@sla.co.ac,0826772225
414,414-VS,VanGreunen,Smallwood,VS,08L,08,L,2228-11-12,vsmallwood,vsmallwood@sla.co.ac,0826854161
415,415-VS,VanderMerwe,Smallwood,VS,08L,08,L,2229-08-13,vsmallwood,vsmallwood@sla.co.ac,0820979685
416,416-VS,Vanda,Smit,VS,08L,08,L,2230-04-13,vsmit,vsmit@sla.co.ac,0820588509
417,417-VS,Van Niekerk,Smith,VS,08L,08,L,2231-06-27,vsmith,vsmith@sla.co.ac,0824762212
418,418-VS,Van Eyk,Smith,VS,08L,08,L,2232-06-19,vsmith,vsmith@sla.co.ac,0829207668
419,419-TS,Tladi,Solomons,TS,08L,08,L,2233-09-25,tsolomons,tsolomons@sla.co.ac,0821613901
420,420-TS,Tiltmann,Spohr,TS,08L,08,L,2234-03-19,tspohr,tspohr@sla.co.ac,0827796586
421,421-TS,Themba,Stappard,TS,08L,08,L,2235-02-21,tstappard,tstappard@sla.co.ac,0825588176
422,422-TS,Tetsa,Steenkamp,TS,08L,08,L,2236-06-23,tsteenkamp,tsteenkamp@sla.co.ac,0828978006
423,423-TS,Tantsi,Strydom,TS,08L,08,L,2237-01-10,tstrydom,tstrydom@sla.co.ac,0822195504
424,424-TS,Taljaard,Sukdaven,TS,08L,08,L,2238-02-24,tsukdaven,tsukdaven@sla.co.ac,0822222176
425,425-ST,Sukdaven,Taljaard,ST,08L,08,L,2239-06-26,staljaard,staljaard@sla.co.ac,0825198337
426,426-ST,Strydom,Tantsi,ST,08L,08,L,2240-05-23,stantsi,stantsi@sla.co.ac,0823597698
427,427-ST,Steenkamp,Tetsa,ST,08L,08,L,2241-08-22,stetsa,stetsa@sla.co.ac,0820298453
428,428-ST,Stappard,Themba,ST,08L,08,L,2242-04-26,sthemba,sthemba@sla.co.ac,0822533742
429,429-ST,Spohr,Tiltmann,ST,08L,08,L,2243-05-30,stiltmann,stiltmann@sla.co.ac,0824115826
430,430-ST,Solomons,Tladi,ST,08M,08,L,2244-11-29,stladi,stladi@sla.co.ac,0820805965
431,431-SV,Smith,Van Eyk,SV,08M,08,M,2245-08-07,svan eyk,svan eyk@sla.co.ac,0823797812
432,432-SV,Smith,Van Niekerk,SV,08M,08,M,2246-03-15,svan niekerk,svan niekerk@sla.co.ac,0822587946
433,433-SV,Smit,Vanda,SV,08M,08,M,2247-10-23,svanda,svanda@sla.co.ac,0820858200
434,434-SV,Smallwood,VanderMerwe,SV,08M,08,M,2248-04-11,svandermerwe,svandermerwe@sla.co.ac,0829770715
435,435-SV,Smallwood,VanGreunen,SV,08M,08,M,2249-11-04,svangreunen,svangreunen@sla.co.ac,0826567699
436,436-SV,Smal,Vass,SV,08M,08,M,2250-04-18,svass,svass@sla.co.ac,0828056133
437,437-SV,Slabbert,Verwey,SV,08M,08,M,2251-10-27,sverwey,sverwey@sla.co.ac,0822740024
438,438-SW,Singh,Waite,SW,08M,08,M,2252-09-17,swaite,swaite@sla.co.ac,0826872887
439,439-SW,Shilenge,Waite,SW,08M,08,M,2253-08-10,swaite,swaite@sla.co.ac,0823767688
440,440-SW,Shampandle,Wanga,SW,08M,08,M,2254-07-08,swanga,swanga@sla.co.ac,0828995542
441,441-SW,Serage,Weston,SW,08M,08,M,2255-07-29,sweston,sweston@sla.co.ac,0823358338
442,442-SW,Sequeira,Woodburn,SW,08M,08,M,2256-08-28,swoodburn,swoodburn@sla.co.ac,0826138900
443,443-SZ,Seebran,Zwane,SZ,08M,08,M,2257-12-02,szwane,szwane@sla.co.ac,0822003572
444,444-SZ,Sebata,Zwane,SZ,08M,08,M,2258-06-30,szwane,szwane@sla.co.ac,0828423379
445,445-SA,Samigramni,Adams,SA,08M,08,M,2259-06-27,sadams,sadams@sla.co.ac,0825498121
446,446-RA,Rugnanan,Aphane,RA,08M,08,M,2260-09-03,raphane,raphane@sla.co.ac,0826118285
447,447-RB,Rozycki,Badari,RB,08M,08,M,2261-12-07,rbadari,rbadari@sla.co.ac,0820900634
448,448-RB,Roman,Baleta,RB,08M,08,M,2262-11-03,rbaleta,rbaleta@sla.co.ac,0820519021
449,449-RB,Roddan,Baloyi,RB,08M,08,M,2263-12-10,rbaloyi,rbaloyi@sla.co.ac,0823107649
450,450-RB,Richter,Bambata,RB,08M,08,M,2264-05-27,rbambata,rbambata@sla.co.ac,0822632137
451,451-RB,Reddy,Barnes,RB,08M,08,M,2265-08-12,rbarnes,rbarnes@sla.co.ac,0826519459
452,452-RB,Ramugumo,Bassog,RB,08M,08,M,2266-10-09,rbassog,rbassog@sla.co.ac,0827391837
453,453-RB,Ramlakan,Beach,RB,08M,08,M,2267-07-20,rbeach,rbeach@sla.co.ac,0820513293
454,454-RB,Ramjattan,Botha,RB,09M,09,M,2268-03-14,rbotha,rbotha@sla.co.ac,0829869506
455,455-RB,Ramchuran,Britz,RB,09M,09,M,2269-10-10,rbritz,rbritz@sla.co.ac,0823869667
456,456-RB,Rall,Brown,RB,09M,09,M,2270-12-18,rbrown,rbrown@sla.co.ac,0827445239
457,457-RC,Radebe,Carstens,RC,09M,09,M,2271-04-03,rcarstens,rcarstens@sla.co.ac,0825656871
458,458-PC,Poulton,Clark,PC,09M,09,M,2272-11-09,pclark,pclark@sla.co.ac,0826223264
459,459-PC,Pontes,Clark,PC,09M,09,M,2273-03-25,pclark,pclark@sla.co.ac,0821756811
460,460-PC,Pillay,Clarke,PC,09M,09,M,2274-03-06,pclarke,pclarke@sla.co.ac,0824546670
461,461-PC,Pietersen,Coetzee,PC,09M,09,M,2275-07-18,pcoetzee,pcoetzee@sla.co.ac,0822429180
462,462-PC,Phasha,Coetzee,PC,09M,09,M,2276-08-30,pcoetzee,pcoetzee@sla.co.ac,0826877718
463,463-PC,Pailman,Confait,PC,09M,09,M,2277-08-01,pconfait,pconfait@sla.co.ac,0825428713
464,464-PD,Padayachee,Davis,PD,09M,09,M,2278-10-27,pdavis,pdavis@sla.co.ac,0825130955
465,465-OD,Oxley,De Grandi Sala,OD,09M,09,M,2279-01-03,ode grandi sala,ode grandi sala@sla.co.ac,0827227875
466,466-ND,Nyembe,De Klerk,ND,09M,09,M,2280-01-25,nde klerk,nde klerk@sla.co.ac,0827124624
467,467-Nd,Norton,de Nysschen,Nd,09M,09,M,2281-09-25,nde nysschen,nde nysschen@sla.co.ac,0824678210
468,468-ND,Nkente,De Sas Kropiwnicki,ND,09M,09,M,2282-06-04,nde sas kropiwnicki,nde sas kropiwnicki@sla.co.ac,0822135115
